feature_id,location_id,date,dengue_lag_1,dengue_lag_2,dengue_lag_4,dengue_rolling_4,malaria_lag_1,malaria_lag_4,rainfall_1,rainfall_2,rainfall_4,rainfall_8,temperature_1,temperature_2,temperature_4,rainfall_anomaly,temperature_anomaly,outbreak_target,population,urban_density,sanitation_index,municipality,state_name
1,1,2025-09-01,,,,1,1,4,21.038659232003347,9.694880894252233,,,27.090618024553578,25.095710100446468,,0.0,0.0,0,75485,7.886221237523404,0.30713061924767615,Acrelândia,Acre
2,1,2025-11-01,,,,1,1,1,150.85651506696428,21.038659232003347,,,27.1130092075893,27.090618024553578,,0.0,0.0,0,75485,7.886221237523404,0.30713061924767615,Acrelândia,Acre
3,10,2025-04-01,,,,20,41,9,257.05743408203125,190.79232788085938,,,24.90603543133807,24.90267935739439,,0.0,0.0,0,64175,5.654507242265555,0.3546861482729724,Mâncio Lima,Acre
4,10,2025-05-01,,,,12,20,90,202.84332275390625,257.05743408203125,,,24.82749779929577,24.90603543133807,,0.0,0.0,0,64175,5.654507242265555,0.3546861482729724,Mâncio Lima,Acre
5,10,2025-06-01,,,,12,12,50,208.9163360595703,202.84332275390625,,,24.225825264084506,24.82749779929577,,0.0,0.0,0,64175,5.654507242265555,0.3546861482729724,Mâncio Lima,Acre
6,10,2025-07-01,,,,3,12,41,78.6941909790039,208.9163360595703,,,23.92575924295778,24.225825264084506,,0.0,0.0,0,64175,5.654507242265555,0.3546861482729724,Mâncio Lima,Acre
7,10,2025-08-01,,,,9,3,20,83.47449493408203,78.6941909790039,,,24.262962147887322,23.92575924295778,,0.0,0.0,0,64175,5.654507242265555,0.3546861482729724,Mâncio Lima,Acre
8,10,2025-09-01,,,,12,9,12,71.75592041015625,83.47449493408203,,,25.503361575704275,24.262962147887322,,0.0,0.0,0,64175,5.654507242265555,0.3546861482729724,Mâncio Lima,Acre
9,10,2025-10-01,,,,13,12,12,130.79830932617188,71.75592041015625,,,25.24901518485916,25.503361575704275,,0.0,0.0,0,64175,5.654507242265555,0.3546861482729724,Mâncio Lima,Acre
10,10,2025-11-01,,,,20,13,3,194.28306579589844,130.79830932617188,,,24.715647007042264,25.24901518485916,,0.0,0.0,0,64175,5.654507242265555,0.3546861482729724,Mâncio Lima,Acre
11,10,2025-12-01,,,,1,20,9,189.93399047851562,194.28306579589844,,,24.895884683098586,24.715647007042264,,46.68537902832031,-0.32651573503520126,0,64175,5.654507242265555,0.3546861482729724,Mâncio Lima,Acre
12,12,2025-04-01,,,,5,4,6,295.920556640625,209.178857421875,,,24.8010878696237,24.88167002688175,,0.0,0.0,0,83446,18.82783497388396,0.2900644431392043,Marechal Thaumaturgo,Acre
13,12,2025-05-01,,,,6,5,35,185.202392578125,295.920556640625,,,24.81385668682799,24.8010878696237,,0.0,0.0,0,83446,18.82783497388396,0.2900644431392043,Marechal Thaumaturgo,Acre
14,12,2025-06-01,,,,4,6,19,158.77218017578124,185.202392578125,,,24.27819640456994,24.81385668682799,,0.0,0.0,0,83446,18.82783497388396,0.2900644431392043,Marechal Thaumaturgo,Acre
15,12,2025-07-01,,,,1,4,4,63.293017578125,158.77218017578124,,,23.83979334677423,24.27819640456994,,0.0,0.0,0,83446,18.82783497388396,0.2900644431392043,Marechal Thaumaturgo,Acre
16,13,2025-04-01,,,,27,55,8,257.75408935546875,322.9421691894531,,,25.06100484913793,25.2460129310345,,0.0,0.0,0,18127,13.446962321356487,0.35505903470391026,Plácido de Castro,Acre
17,13,2025-05-01,,,,40,27,148,261.2955017089844,257.75408935546875,,,25.104108297413802,25.06100484913793,,0.0,0.0,0,18127,13.446962321356487,0.35505903470391026,Plácido de Castro,Acre
