malaria_id,location_id,notification_date,year,month,week,cases,laboratory_result,source,source_url,municipality,state_name
1,2419,,2025,2,,3,,SIVEP-Malaria,,Abaetetuba,Pará
2,2419,,2025,3,,1,,SIVEP-Malaria,,Abaetetuba,Pará
3,2419,,2025,6,,1,,SIVEP-Malaria,,Abaetetuba,Pará
4,2419,,2025,7,,3,,SIVEP-Malaria,,Abaetetuba,Pará
5,2419,,2025,11,,3,,SIVEP-Malaria,,Abaetetuba,Pará
6,2421,,2025,1,,2,,SIVEP-Malaria,,Acará,Pará
7,2421,,2025,2,,1,,SIVEP-Malaria,,Acará,Pará
8,2421,,2025,4,,3,,SIVEP-Malaria,,Acará,Pará
9,2421,,2025,5,,1,,SIVEP-Malaria,,Acará,Pará
10,2421,,2025,6,,2,,SIVEP-Malaria,,Acará,Pará
11,2421,,2025,7,,1,,SIVEP-Malaria,,Acará,Pará
12,2421,,2025,8,,1,,SIVEP-Malaria,,Acará,Pará
13,2421,,2025,9,,1,,SIVEP-Malaria,,Acará,Pará
14,2421,,2025,10,,1,,SIVEP-Malaria,,Acará,Pará
15,2421,,2025,11,,2,,SIVEP-Malaria,,Acará,Pará
16,1,,2025,1,,4,,SIVEP-Malaria,,Acrelândia,Acre
17,1,,2025,2,,1,,SIVEP-Malaria,,Acrelândia,Acre
18,1,,2025,7,,3,,SIVEP-Malaria,,Acrelândia,Acre
19,1,,2025,8,,1,,SIVEP-Malaria,,Acrelândia,Acre
20,1,,2025,9,,1,,SIVEP-Malaria,,Acrelândia,Acre
21,1,,2025,11,,1,,SIVEP-Malaria,,Acrelândia,Acre
22,2422,,2025,1,,27,,SIVEP-Malaria,,Afuá,Pará
23,2422,,2025,2,,13,,SIVEP-Malaria,,Afuá,Pará
24,2422,,2025,3,,9,,SIVEP-Malaria,,Afuá,Pará
25,2422,,2025,4,,2,,SIVEP-Malaria,,Afuá,Pará
26,2422,,2025,5,,3,,SIVEP-Malaria,,Afuá,Pará
27,2422,,2025,6,,2,,SIVEP-Malaria,,Afuá,Pará
28,2422,,2025,7,,14,,SIVEP-Malaria,,Afuá,Pará
29,2422,,2025,8,,19,,SIVEP-Malaria,,Afuá,Pará
30,2422,,2025,9,,10,,SIVEP-Malaria,,Afuá,Pará
31,2422,,2025,10,,4,,SIVEP-Malaria,,Afuá,Pará
32,2422,,2025,11,,3,,SIVEP-Malaria,,Afuá,Pará
33,1132,,2025,2,,1,,SIVEP-Malaria,,Alcântara,Maranhão
34,1132,,2025,4,,1,,SIVEP-Malaria,,Alcântara,Maranhão
35,2424,,2024,12,,1,,SIVEP-Malaria,,Alenquer,Pará
36,2424,,2025,1,,26,,SIVEP-Malaria,,Alenquer,Pará
37,2424,,2025,2,,18,,SIVEP-Malaria,,Alenquer,Pará
38,2424,,2025,3,,17,,SIVEP-Malaria,,Alenquer,Pará
39,2424,,2025,4,,3,,SIVEP-Malaria,,Alenquer,Pará
40,2424,,2025,5,,19,,SIVEP-Malaria,,Alenquer,Pará
41,2424,,2025,6,,8,,SIVEP-Malaria,,Alenquer,Pará
42,2424,,2025,7,,18,,SIVEP-Malaria,,Alenquer,Pará
43,2424,,2025,8,,8,,SIVEP-Malaria,,Alenquer,Pará
44,2424,,2025,9,,10,,SIVEP-Malaria,,Alenquer,Pará
45,2424,,2025,10,,9,,SIVEP-Malaria,,Alenquer,Pará
46,2424,,2025,11,,8,,SIVEP-Malaria,,Alenquer,Pará
47,2424,,2025,12,,10,,SIVEP-Malaria,,Alenquer,Pará
48,2425,,2024,12,,6,,SIVEP-Malaria,,Almeirim,Pará
49,2425,,2025,1,,31,,SIVEP-Malaria,,Almeirim,Pará
50,2425,,2025,2,,45,,SIVEP-Malaria,,Almeirim,Pará
51,2425,,2025,3,,48,,SIVEP-Malaria,,Almeirim,Pará
52,2425,,2025,4,,31,,SIVEP-Malaria,,Almeirim,Pará
53,2425,,2025,5,,21,,SIVEP-Malaria,,Almeirim,Pará
54,2425,,2025,6,,12,,SIVEP-Malaria,,Almeirim,Pará
55,2425,,2025,7,,20,,SIVEP-Malaria,,Almeirim,Pará
56,2425,,2025,8,,18,,SIVEP-Malaria,,Almeirim,Pará
57,2425,,2025,9,,28,,SIVEP-Malaria,,Almeirim,Pará
58,2425,,2025,10,,27,,SIVEP-Malaria,,Almeirim,Pará
59,2425,,2025,11,,33,,SIVEP-Malaria,,Almeirim,Pará
60,2425,,2025,12,,33,,SIVEP-Malaria,,Almeirim,Pará
61,1348,,2025,1,,2,,SIVEP-Malaria,,Alta Floresta,Mato Grosso
62,1348,,2025,2,,1,,SIVEP-Malaria,,Alta Floresta,Mato Grosso
63,1348,,2025,4,,1,,SIVEP-Malaria,,Alta Floresta,Mato Grosso
64,1348,,2025,5,,1,,SIVEP-Malaria,,Alta Floresta,Mato Grosso
65,1348,,2025,6,,1,,SIVEP-Malaria,,Alta Floresta,Mato Grosso
66,1348,,2025,7,,1,,SIVEP-Malaria,,Alta Floresta,Mato Grosso
67,1348,,2025,8,,1,,SIVEP-Malaria,,Alta Floresta,Mato Grosso
68,1348,,2025,9,,3,,SIVEP-Malaria,,Alta Floresta,Mato Grosso
69,1348,,2025,10,,1,,SIVEP-Malaria,,Alta Floresta,Mato Grosso
70,1348,,2025,11,,1,,SIVEP-Malaria,,Alta Floresta,Mato Grosso
71,4352,,2025,10,,2,,SIVEP-Malaria,,Alta Floresta D'Oeste,Rondônia
72,4352,,2025,11,,1,,SIVEP-Malaria,,Alta Floresta D'Oeste,Rondônia
73,2426,,2024,12,,5,,SIVEP-Malaria,,Altamira,Pará
74,2426,,2025,1,,85,,SIVEP-Malaria,,Altamira,Pará
75,2426,,2025,2,,44,,SIVEP-Malaria,,Altamira,Pará
76,2426,,2025,3,,56,,SIVEP-Malaria,,Altamira,Pará
77,2426,,2025,4,,47,,SIVEP-Malaria,,Altamira,Pará
78,2426,,2025,5,,64,,SIVEP-Malaria,,Altamira,Pará
79,2426,,2025,6,,111,,SIVEP-Malaria,,Altamira,Pará
80,2426,,2025,7,,122,,SIVEP-Malaria,,Altamira,Pará
81,2426,,2025,8,,102,,SIVEP-Malaria,,Altamira,Pará
82,2426,,2025,9,,78,,SIVEP-Malaria,,Altamira,Pará
83,2426,,2025,10,,74,,SIVEP-Malaria,,Altamira,Pará
84,2426,,2025,11,,47,,SIVEP-Malaria,,Altamira,Pará
85,2426,,2025,12,,29,,SIVEP-Malaria,,Altamira,Pará
86,4726,,2024,12,,18,,SIVEP-Malaria,,Alto Alegre,São Paulo
87,4726,,2025,1,,804,,SIVEP-Malaria,,Alto Alegre,São Paulo
88,4726,,2025,2,,393,,SIVEP-Malaria,,Alto Alegre,São Paulo
89,4726,,2025,3,,474,,SIVEP-Malaria,,Alto Alegre,São Paulo
90,4726,,2025,4,,516,,SIVEP-Malaria,,Alto Alegre,São Paulo
91,4726,,2025,5,,540,,SIVEP-Malaria,,Alto Alegre,São Paulo
92,4726,,2025,6,,423,,SIVEP-Malaria,,Alto Alegre,São Paulo
93,4726,,2025,7,,380,,SIVEP-Malaria,,Alto Alegre,São Paulo
94,4726,,2025,8,,395,,SIVEP-Malaria,,Alto Alegre,São Paulo
95,4726,,2025,9,,383,,SIVEP-Malaria,,Alto Alegre,São Paulo
96,4726,,2025,10,,443,,SIVEP-Malaria,,Alto Alegre,São Paulo
97,4726,,2025,11,,565,,SIVEP-Malaria,,Alto Alegre,São Paulo
98,4726,,2025,12,,450,,SIVEP-Malaria,,Alto Alegre,São Paulo
99,141,,2024,8,,1,,SIVEP-Malaria,,Alvarães,Amazonas
100,141,,2024,12,,8,,SIVEP-Malaria,,Alvarães,Amazonas
101,141,,2025,1,,49,,SIVEP-Malaria,,Alvarães,Amazonas
102,141,,2025,2,,53,,SIVEP-Malaria,,Alvarães,Amazonas
103,141,,2025,3,,48,,SIVEP-Malaria,,Alvarães,Amazonas
104,141,,2025,4,,53,,SIVEP-Malaria,,Alvarães,Amazonas
105,141,,2025,5,,108,,SIVEP-Malaria,,Alvarães,Amazonas
106,141,,2025,6,,150,,SIVEP-Malaria,,Alvarães,Amazonas
107,141,,2025,7,,331,,SIVEP-Malaria,,Alvarães,Amazonas
108,141,,2025,8,,330,,SIVEP-Malaria,,Alvarães,Amazonas
109,141,,2025,9,,232,,SIVEP-Malaria,,Alvarães,Amazonas
110,141,,2025,10,,184,,SIVEP-Malaria,,Alvarães,Amazonas
111,141,,2025,11,,93,,SIVEP-Malaria,,Alvarães,Amazonas
112,141,,2025,12,,47,,SIVEP-Malaria,,Alvarães,Amazonas
113,4355,,2025,10,,1,,SIVEP-Malaria,,Alvorada D'Oeste,Rondônia
114,4355,,2025,12,,2,,SIVEP-Malaria,,Alvorada D'Oeste,Rondônia
115,4405,,2024,12,,4,,SIVEP-Malaria,,Amajari,Roraima
116,4405,,2025,1,,379,,SIVEP-Malaria,,Amajari,Roraima
117,4405,,2025,2,,386,,SIVEP-Malaria,,Amajari,Roraima
118,4405,,2025,3,,466,,SIVEP-Malaria,,Amajari,Roraima
119,4405,,2025,4,,514,,SIVEP-Malaria,,Amajari,Roraima
120,4405,,2025,5,,450,,SIVEP-Malaria,,Amajari,Roraima
121,4405,,2025,6,,391,,SIVEP-Malaria,,Amajari,Roraima
122,4405,,2025,7,,355,,SIVEP-Malaria,,Amajari,Roraima
123,4405,,2025,8,,299,,SIVEP-Malaria,,Amajari,Roraima
124,4405,,2025,9,,399,,SIVEP-Malaria,,Amajari,Roraima
125,4405,,2025,10,,540,,SIVEP-Malaria,,Amajari,Roraima
126,4405,,2025,11,,385,,SIVEP-Malaria,,Amajari,Roraima
127,4405,,2025,12,,302,,SIVEP-Malaria,,Amajari,Roraima
128,125,,2025,1,,4,,SIVEP-Malaria,,Amapá,Amapá
129,125,,2025,2,,1,,SIVEP-Malaria,,Amapá,Amapá
130,125,,2025,3,,1,,SIVEP-Malaria,,Amapá,Amapá
131,125,,2025,4,,1,,SIVEP-Malaria,,Amapá,Amapá
132,125,,2025,5,,1,,SIVEP-Malaria,,Amapá,Amapá
133,125,,2025,6,,2,,SIVEP-Malaria,,Amapá,Amapá
134,125,,2025,7,,2,,SIVEP-Malaria,,Amapá,Amapá
135,125,,2025,8,,4,,SIVEP-Malaria,,Amapá,Amapá
136,125,,2025,9,,2,,SIVEP-Malaria,,Amapá,Amapá
137,125,,2025,10,,2,,SIVEP-Malaria,,Amapá,Amapá
138,125,,2025,11,,2,,SIVEP-Malaria,,Amapá,Amapá
139,125,,2025,12,,5,,SIVEP-Malaria,,Amapá,Amapá
140,1138,,2025,2,,1,,SIVEP-Malaria,,Amapá do Maranhão,Maranhão
141,1138,,2025,12,,1,,SIVEP-Malaria,,Amapá do Maranhão,Maranhão
142,1139,,2025,1,,5,,SIVEP-Malaria,,Amarante do Maranhão,Maranhão
143,1139,,2025,2,,2,,SIVEP-Malaria,,Amarante do Maranhão,Maranhão
144,1139,,2025,4,,1,,SIVEP-Malaria,,Amarante do Maranhão,Maranhão
145,142,,2022,5,,1,,SIVEP-Malaria,,Amaturá,Amazonas
146,142,,2025,1,,7,,SIVEP-Malaria,,Amaturá,Amazonas
147,142,,2025,2,,58,,SIVEP-Malaria,,Amaturá,Amazonas
148,142,,2025,3,,99,,SIVEP-Malaria,,Amaturá,Amazonas
149,142,,2025,4,,206,,SIVEP-Malaria,,Amaturá,Amazonas
150,142,,2025,5,,291,,SIVEP-Malaria,,Amaturá,Amazonas
151,142,,2025,6,,334,,SIVEP-Malaria,,Amaturá,Amazonas
152,142,,2025,7,,611,,SIVEP-Malaria,,Amaturá,Amazonas
153,142,,2025,8,,558,,SIVEP-Malaria,,Amaturá,Amazonas
154,142,,2025,9,,173,,SIVEP-Malaria,,Amaturá,Amazonas
155,142,,2025,10,,105,,SIVEP-Malaria,,Amaturá,Amazonas
156,142,,2025,11,,69,,SIVEP-Malaria,,Amaturá,Amazonas
157,142,,2025,12,,98,,SIVEP-Malaria,,Amaturá,Amazonas
158,2427,,2024,4,,1,,SIVEP-Malaria,,Anajás,Pará
159,2427,,2024,12,,6,,SIVEP-Malaria,,Anajás,Pará
160,2427,,2025,1,,216,,SIVEP-Malaria,,Anajás,Pará
161,2427,,2025,2,,161,,SIVEP-Malaria,,Anajás,Pará
162,2427,,2025,3,,95,,SIVEP-Malaria,,Anajás,Pará
163,2427,,2025,4,,47,,SIVEP-Malaria,,Anajás,Pará
164,2427,,2025,5,,45,,SIVEP-Malaria,,Anajás,Pará
165,2427,,2025,6,,50,,SIVEP-Malaria,,Anajás,Pará
166,2427,,2025,7,,38,,SIVEP-Malaria,,Anajás,Pará
167,2427,,2025,8,,86,,SIVEP-Malaria,,Anajás,Pará
168,2427,,2025,9,,99,,SIVEP-Malaria,,Anajás,Pará
169,2427,,2025,10,,64,,SIVEP-Malaria,,Anajás,Pará
170,2427,,2025,11,,59,,SIVEP-Malaria,,Anajás,Pará
171,2427,,2025,12,,62,,SIVEP-Malaria,,Anajás,Pará
172,143,,2025,5,,2,,SIVEP-Malaria,,Anamã,Amazonas
173,143,,2025,7,,1,,SIVEP-Malaria,,Anamã,Amazonas
174,143,,2025,11,,1,,SIVEP-Malaria,,Anamã,Amazonas
175,2428,,2024,12,,1,,SIVEP-Malaria,,Ananindeua,Pará
176,2428,,2025,1,,18,,SIVEP-Malaria,,Ananindeua,Pará
177,2428,,2025,2,,9,,SIVEP-Malaria,,Ananindeua,Pará
